Bed_ID,Department_ID,Ward,Bed_Type,Bed_Status
B001,D05,General Ward,Standard,Available
B002,D08,General Ward,Standard,Available
B003,D04,Private Room,ICU Bed,Available
B004,D08,General Ward,ICU Bed,Available
B005,D08,General Ward,Standard,Available
B006,D08,General Ward,Electric,Available
B007,D07,General Ward,Standard,Available
B008,D03,Private Room,Standard,Available
B009,D01,Private Room,Standard,Available
B010,D08,ICU,Standard,Available
B011,D01,General Ward,Standard,Occupied
B012,D08,General Ward,Standard,Available
B013,D04,General Ward,ICU Bed,Available
B014,D03,General Ward,ICU Bed,Available
B015,D03,General Ward,Electric,Available
B016,D06,ICU,Standard,Occupied
B017,D07,ICU,Standard,Available
B018,D06,General Ward,Electric,Available
B019,D06,Private Room,Electric,Occupied
B020,D06,ICU,Standard,Available
B021,D06,General Ward,ICU Bed,Available
B022,D06,ICU,Electric,Available
B023,D05,General Ward,ICU Bed,Available
B024,D03,General Ward,Electric,Occupied
B025,D06,General Ward,Electric,Available
B026,D08,Private Room,Standard,Available
B027,D03,General Ward,ICU Bed,Available
B028,D03,General Ward,ICU Bed,Available
B029,D02,General Ward,Standard,Available
B030,D05,General Ward,Standard,Available
B031,D06,Private Room,Standard,Available
B032,D01,ICU,Electric,Available
B033,D04,general ward,ICU Bed,Available
B034,D07,General Ward,Standard,Available
B035,D08,General Ward,Standard,Available
B036,D01,general ward,Standard,Occupied
B037,D05,General Ward,ICU Bed,Available
B038,D04,General Ward,Electric,Available
B039,D05,General Ward,Electric,Available
B040,D08,ICU,Standard,Available
B041,D03,ICU,Standard,Occupied
B042,D04,General Ward,Standard,Occupied
B043,D03,General Ward,Standard,Available
B044,D08,ICU,ICU Bed,Available
B045,D01,General Ward,Electric,Available
B046,D08,Private Room,ICU Bed,Available
B047,D01,ICU,ICU Bed,Available
B048,D04,General Ward,Standard,Available
B049,D04,general ward,Electric,Available
B050,D06,ICU,ICU Bed,Available
B051,D05,General Ward,Electric,Available
B052,D06,General Ward,Standard,Available
B053,D05,Private Room,Standard,Occupied
B054,D06,General Ward,Standard,Available
B055,D03,general ward,ICU Bed,Available
B056,D04,ICU,Electric,Available
B057,D01,General Ward,Standard,Available
