Bed_ID,Department_ID,Ward,Bed_Type,Bed_Status
B001,D02,General Ward,Electric,Available
B002,D02, Private Room ,Standard,Occupied
B003,D08,General Ward,Standard,Available
B004,D06,general ward,Electric,Available
B005,D02,General Ward,Standard,Available
B006,D03,General Ward,Standard,Occupied
B007,D05,ICU,Standard,Available
B008,D05,General Ward,Electric,Occupied
B009,D07,General Ward,Standard,Available
B010,D08,Private Room,ICU Bed,Available
B011,D01,General Ward,ICU Bed,Occupied
B012,D06,General Ward,ICU Bed,Available
B013,D01,Private Room,Electric,Available
B014,D02,ICU,Standard,Available
B015,D08,General Ward,Electric,Available
B016,D07,Private Room,Standard,Available
B017,D01,ICU,Standard,Occupied
B018,D03,General Ward,Standard,Available
B019,D05,General Ward,Standard,Available
B020,D02,Private Room,Electric,Available
B021,D07,ICU,Electric,Available
B022,D01,General Ward,Standard,Available
B023,D06,Private Room,Standard,Occupied
B024,D03,Private Room,ICU Bed,Available
B025,D03,General Ward,Standard,Available
B026,D01,General Ward,Standard,Available
B027,D05,General Ward,Standard,Available
B028,D01,ICU,Electric,Occupied
B029,D02,General Ward,Electric,Available
B030,D01,General Ward,Standard,Available
B031,D03,Private Room,Standard,Available
B032,D07,Private Room,Electric,Available
B033,D01,General Ward,Electric,Occupied
B034,D05,Private Room,Standard,Available
B035,D08,General Ward,ICU Bed,Available
B036,D07,private room,Standard,Available
B037,D06,General Ward,Standard,Available
B038,D04, General Ward ,ICU Bed,Available
B039,D01,Private Room,Standard,Available
B040,D05,General Ward,Electric,Available
B041,D07,General Ward,Standard,Available
B042,D05,ICU,Standard,Available
B043,D06,ICU,ICU Bed,Available
B044,D03,ICU,Standard,Available
B045,D05,ICU,ICU Bed,Available
B046,D07,general ward,Standard,Available
B047,D05, General Ward ,Standard,Occupied
B048,D05,General Ward,Standard,Available
B049,D05,General Ward,Electric,Available
B050,D02,Private Room,Standard,Available
B051,D02,General Ward,ICU Bed,Available
B052,D03,General Ward,Standard,Available
B053,D01, General Ward ,ICU Bed,Available
B054,D05,Private Room,Standard,Available
B055,D06,General Ward,ICU Bed,Occupied
B056,D01,General Ward,Electric,Available
B057,D06,General Ward,Electric,Available
B058,D01, ICU ,Electric,Available
B059,D03,General Ward,Electric,Available
B060,D05,Private Room,Electric,Occupied
B061,D05,Private Room,Standard,Available
B062,D04,General Ward,Standard,Available
B063,D06,ICU,ICU Bed,Available
B064,D01,Private Room,Electric,Occupied
B065,D01,ICU,Electric,Available
B066,D08,General Ward,Standard,Available
B067,D08,General Ward,Standard,Occupied
B068,D02,ICU,Standard,Available
B069,D04,General Ward,Electric,Occupied
B070,D07,ICU,Standard,Available
B071,D08,Private Room,Standard,Available
B072,D07,Private Room,Standard,Available
B073,D02,General Ward,Standard,Available
B074,D02,general ward,Standard,Available
B075,D02,private room,Standard,Available
B076,D06,Private Room,Electric,Available
B077,D06,General Ward,Standard,Available
B078,D03,Private Room,Standard,Available
B079,D03,Private Room,Standard,Occupied
B080,D02,General Ward,Standard,Available
B081,D04,general ward,Standard,Available
B082,D01,General Ward,Standard,Available
B083,D06,General Ward,Electric,Occupied
B084,D04,General Ward,Standard,Available
B085,D05,Private Room,Electric,Available
B086,D06,General Ward,ICU Bed,Available
B087,D06,General Ward,Electric,Available
B088,D03,General Ward,Standard,Available
B089,D01,General Ward,Standard,Occupied
B090,D01,Private Room,Standard,Available
B091,D08,General Ward,Standard,Available
B092,D07,General Ward,ICU Bed,Available
B093,D07,ICU,Standard,Available
B094,D07,General Ward,Standard,Available
B095,D07,General Ward,Electric,Available
B096,D05,General Ward,Electric,Available
B097,D05,General Ward,Standard,Occupied
B098,D06,General Ward,Standard,Available
B099,D02,General Ward,Standard,Available
B100,D03,General Ward,Standard,Occupied
B101,D03,private room,Standard,Available
B102,D07,general ward,Standard,Available
B103,D06,General Ward,Standard,Occupied
B104,D08,ICU,Standard,Available
B105,D04,General Ward,Standard,Available
B106,D02,ICU,Standard,Occupied
B107,D06,General Ward,Standard,Occupied
B108,D02,Private Room,Electric,Available
B109,D02,General Ward,Electric,Available
